id;title;object_lat;object_long;type;description
1;Operative index Incredible;38869;9796;Loop online Buckinghamshire;XML
2;Borders engage Wooden;23072;42256;payment;Customizable fresh-thinking initiatives
3;Representative e-enable;36738;3643;iterate Interactions Fresh;explicit input Orchestrator
4;Fresh Specialist calculate;14448;58017;Account;New
5;metrics wireless;89828;54537;markets;lime SMTP monitor
6;Beauty;46759;18480;National Direct wireless;innovative Sleek Future
7;technologies mobile;40123;61796;Markets expedite framework;target payment
8;circuit;76008;38687;Fantastic Centralized;Nicaragua Towels
9;encoding Soft;72555;71815;Gorgeous Shoes plum;Coordinator
10;Village;72709;30594;Granite;Configuration impactful
